event_id,status,selected_controls,sector_relaxed,sector_filter_mode
CN-csi300-600521-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600522-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600522-20251128-20251212-add-02,matched,3,True,penalized
CN-csi300-600535-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600566-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600606-20240531-20240614-del-01,matched,3,True,penalized
CN-csi300-600663-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600703-20211126-20211210-del-01,matched,3,True,penalized
CN-csi300-600705-20211126-20211210-del-01,skipped_no_valid_match,0,True,penalized
CN-csi300-600732-20241129-20241213-del-01,skipped_missing_target_snapshot,0,,
CN-csi300-600733-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600745-20200601-20200615-add-01,matched,3,True,penalized
CN-csi300-600745-20250530-20250613-del-02,matched,3,True,penalized
CN-csi300-600754-20240531-20240614-del-01,matched,3,True,penalized
CN-csi300-600763-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-600816-20200601-20200615-del-01,matched,3,True,penalized
CN-csi300-600848-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-600872-20220527-20220610-del-01,matched,3,True,penalized
CN-csi300-600884-20231124-20231208-del-01,matched,3,True,penalized
CN-csi300-600905-20211126-20211210-add-01,matched,3,True,penalized
CN-csi300-600930-20251128-20251212-add-01,skipped_missing_target_snapshot,0,,
CN-csi300-600938-20231124-20231208-add-01,matched,3,True,penalized
CN-csi300-600941-20220527-20220610-add-01,matched,3,True,penalized
CN-csi300-601018-20251128-20251212-add-01,skipped_missing_target_snapshot,0,,
